Date,AAR,BT,Bus,LIRR,MNR,SIR,Subway
01/01/2024,9165,730489,455965,82811,73957,2018,1648734
01/02/2024,25961,829660,1091104,209680,184978,7107,3290639
01/03/2024,31304,856822,1212761,217373,194441,7565,3555082
01/04/2024,31233,867791,1242971,212217,190588,7450,3560703
01/05/2024,30480,886766,1185046,199441,173362,5963,3263064
01/06/2024,15850,721283,684686,92741,82890,2070,1942458
01/07/2024,13723,566397,502518,72971,57280,1533,1472438
01/08/2024,28890,844853,1226783,208960,184150,7001,3303727
01/09/2024,30430,780334,1135694,213699,188888,6944,3353192
01/10/2024,31338,844710,1248493,217461,191221,7216,3557166
01/11/2024,32790,921166,1293940,229117,199799,7337,3688916
01/12/2024,31096,930218,1228696,207670,182896,6286,3365791
01/13/2024,17168,819900,755670,101558,97439,2210,2167383
01/14/2024,18588,750002,588809,85521,78197,1745,1743556
01/15/2024,16502,816628,783032,91887,80498,3017,2169917
01/16/2024,29826,712714,1078860,205716,178389,5414,3235935
01/17/2024,32054,863242,1193111,217173,199986,6891,3616923
01/18/2024,32318,896766,1235693,217911,197257,7014,3655850
01/19/2024,27175,793429,1109408,191999,171490,5330,3176408
01/20/2024,15487,758923,677335,96128,82817,1926,2024041
01/21/2024,17147,718777,548497,78041,66955,1482,1576126
01/22/2024,30092,841078,1210644,209302,185181,6558,3305387
01/23/2024,33111,864670,1264199,233311,205300,7194,3652488
01/24/2024,33082,867077,1247798,223928,201969,7027,3666907
01/25/2024,32517,890573,1256481,223766,199560,6845,3681867
01/26/2024,31329,913609,1193175,213749,184511,5681,3380816
01/27/2024,19099,853000,801262,117555,102600,2409,2283244
01/28/2024,17473,712530,535857,75177,66794,1455,1549077
01/29/2024,29367,838882,1211703,214890,187702,6755,3297571
01/30/2024,32782,868230,1284597,230931,207896,7744,3717520
01/31/2024,33417,882805,1325692,228148,204353,7651,3808584
02/01/2024,33540,911954,1337508,214275,189621,7465,3814682
02/02/2024,32175,917639,1239617,200395,174044,6207,3457807
02/03/2024,20070,845878,808103,113576,102310,2357,2324038
02/04/2024,20480,790429,626299,86327,77083,1746,1742107
02/05/2024,31372,855224,1297578,218879,190181,7053,3481777
02/06/2024,33618,880296,1346868,233524,208252,7709,3857533
02/07/2024,34799,896482,1341486,229426,202871,7655,3900992
02/08/2024,34386,937494,1350925,232069,198010,7442,3903673
02/09/2024,32233,953705,1268268,218909,185475,6121,3547321
02/10/2024,20462,876746,795892,118074,99942,2596,2385448
02/11/2024,20610,759996,628400,83832,73614,1769,1774698
02/12/2024,30323,888941,1254403,212628,185118,6132,3374596
02/13/2024,23271,480178,724893,166803,134355,3641,2273584
02/14/2024,32796,909016,1282121,230505,201686,7645,3963628
02/15/2024,33402,948001,1305830,228885,202704,7500,3874860
02/16/2024,32442,962249,1225865,210552,186547,6269,3504536
02/17/2024,17545,769698,680638,95271,92423,2038,2178047
02/18/2024,18975,794483,604537,89877,81659,1720,1850840
02/19/2024,17585,814165,842548,96569,85973,3007,2244741
02/20/2024,32208,895208,1201850,233827,207099,7023,3490990
02/21/2024,33590,892324,1222440,230058,201074,7112,3591484
02/22/2024,32702,924554,1212903,225465,195315,6674,3588173
02/23/2024,30262,916874,1126271,208527,182348,5479,3219121
02/24/2024,19456,866204,788962,114816,98942,2407,2308808
02/25/2024,19822,822624,608010,88104,78248,1800,1740477
02/26/2024,30867,873604,1275320,217914,187542,6969,3439079
02/27/2024,33571,893537,1332209,233207,208042,7659,3802458
02/28/2024,33664,889784,1290829,228110,199671,7428,3784177
02/29/2024,33637,957616,1334777,232010,204828,7295,3905888
03/01/2024,33416,968878,1276428,181633,157348,6220,3573658
03/02/2024,19380,823629,689029,98266,85586,2084,2094029
03/03/2024,21351,857039,686787,93906,85095,1981,1961510
03/04/2024,32231,887009,1319592,219565,188845,7229,3539671
03/05/2024,34277,868487,1263377,236999,204515,7344,3819514
03/06/2024,35207,890058,1273337,225080,198040,7555,3865589
03/07/2024,34235,941815,1334827,226926,197659,7414,3893731
03/08/2024,34613,987695,1291469,226372,192899,6588,3685219
03/09/2024,19661,857351,747405,113368,97183,2174,2128635
03/10/2024,20080,818114,630566,90567,77768,1750,1803578
03/11/2024,31600,869087,1270081,218755,188108,6854,3497588
03/12/2024,34978,911441,1370319,239002,213584,7820,3988438
03/13/2024,36469,937527,1377062,237603,212582,8100,4024943
03/14/2024,36111,970105,1368263,240124,211962,7658,4049186
03/15/2024,33266,986807,1275542,227481,199285,6558,3643013
03/16/2024,20796,924262,838318,138156,129667,3108,2553056
03/17/2024,20237,862748,625861,103993,86964,2078,1972170
03/18/2024,31905,895292,1296423,221451,190770,7072,3482565
03/19/2024,34899,909501,1336910,242771,210028,7795,3869116
03/20/2024,35998,927404,1334002,234446,206030,7700,3886104
03/21/2024,35097,947309,1317112,228782,200037,7292,3862248
03/22/2024,33549,975518,1251225,225175,187489,6299,3581959
03/23/2024,17633,733638,587004,95770,77331,1766,1863863
03/24/2024,22334,861573,653413,95973,80451,1890,1912946
03/25/2024,31947,902281,1281676,224068,192720,7032,3583716
03/26/2024,34874,914666,1355991,239790,211566,7754,3969793
03/27/2024,35627,943920,1342695,241268,207744,7628,4014011
